situationKwKey,situationKey,situationKeyword
4218250,8211055,크리스마스
4218251,8211055,스노우
4218252,8211055,글로브
4218253,8211055,기록
4218254,8211055,추억
4218255,8211055,행복
4218256,8211055,다이어리
4218257,8211056,바디필로우
4218258,8211056,코코아
4218259,8211056,힐링
4218260,8211056,연말
4218261,8211056,크리스마스
4218262,8211056,겨울
4218263,8211056,밤
4218264,8211056,휴식
4218265,8211057,보드
4218266,8211057,게임
4218267,8211057,크리스마스
4218268,8211057,넛크래커
4218269,8211057,초콜릿
4218270,8211057,가족
4218271,8211057,아이
4218272,8211057,추억
4218273,8211058,크리스마스
4218274,8211058,재미
4218275,8211058,아이
4218276,8211058,보드
4218277,8211058,게임
